,0
0,https://www.procyclingstats.com/rider/aaron-gate
1,https://www.procyclingstats.com/rider/aaron-verwilst
2,https://www.procyclingstats.com/rider/adam-blythe
3,https://www.procyclingstats.com/rider/adam-de-vos
4,https://www.procyclingstats.com/rider/adam-hansen
5,https://www.procyclingstats.com/rider/adam-yates
6,https://www.procyclingstats.com/rider/adrian-gonzalez
7,https://www.procyclingstats.com/rider/adrian-hegyvary
8,https://www.procyclingstats.com/rider/adrian-kurek
9,https://www.procyclingstats.com/rider/adrien-garel
10,https://www.procyclingstats.com/rider/adrien-petit
11,https://www.procyclingstats.com/rider/aidis-kruopis
12,https://www.procyclingstats.com/rider/aime-de-gendt
13,https://www.procyclingstats.com/rider/aitor-gonzalez-prieto
14,https://www.procyclingstats.com/rider/alan-banaszek
15,https://www.procyclingstats.com/rider/alan-marangoni
16,https://www.procyclingstats.com/rider/alberto-bettiol
17,https://www.procyclingstats.com/rider/aldemar-reyes
18,https://www.procyclingstats.com/rider/alejandro-valverde
19,https://www.procyclingstats.com/rider/aleksandr-vlasov
20,https://www.procyclingstats.com/rider/aleksejs-saramotins
21,https://www.procyclingstats.com/rider/aleksey-lutsenko
22,https://www.procyclingstats.com/rider/aleksey-rybalkin
23,https://www.procyclingstats.com/rider/alessandro-bisolti
24,https://www.procyclingstats.com/rider/alessandro-de-marchi
25,https://www.procyclingstats.com/rider/alessandro-tonelli
26,https://www.procyclingstats.com/rider/alex-aranburu
27,https://www.procyclingstats.com/rider/alex-dowsett
28,https://www.procyclingstats.com/rider/alex-frame
29,https://www.procyclingstats.com/rider/alex-howes
30,https://www.procyclingstats.com/rider/alex-kirsch
31,https://www.procyclingstats.com/rider/alex-turrin
32,https://www.procyclingstats.com/rider/alexander-cataford
33,https://www.procyclingstats.com/rider/alexander-edmondson
34,https://www.procyclingstats.com/rider/alexander-foliforov
35,https://www.procyclingstats.com/rider/alexander-kristoff
36,https://www.procyclingstats.com/rider/alexander-porsev
37,https://www.procyclingstats.com/rider/alexandr-riabushenko
38,https://www.procyclingstats.com/rider/alexandre-geniez
39,https://www.procyclingstats.com/rider/alexandre-pichot
40,https://www.procyclingstats.com/rider/alexis-gougeard
41,https://www.procyclingstats.com/rider/alexis-guerin
42,https://www.procyclingstats.com/rider/alexis-vuillermoz
43,https://www.procyclingstats.com/rider/alexys-brunel
44,https://www.procyclingstats.com/rider/alvaro-cuadros
45,https://www.procyclingstats.com/rider/alvaro-jose-hodeg
46,https://www.procyclingstats.com/rider/alvaro-robredo
47,https://www.procyclingstats.com/rider/amael-moinard
48,https://www.procyclingstats.com/rider/amanuel-gebrezgabihier
49,https://www.procyclingstats.com/rider/amaro-manuel-antunes
50,https://www.procyclingstats.com/rider/amaury-capiot
51,https://www.procyclingstats.com/rider/amund-grondahl-jansen
52,https://www.procyclingstats.com/rider/anass-ait-el-abdia
53,https://www.procyclingstats.com/rider/ander-barrenetxea
54,https://www.procyclingstats.com/rider/andre-greipel
55,https://www.procyclingstats.com/rider/andrea-guardini
56,https://www.procyclingstats.com/rider/andrea-pasqualon
57,https://www.procyclingstats.com/rider/andrea-peron
58,https://www.procyclingstats.com/rider/andrea-vendrame
59,https://www.procyclingstats.com/rider/andreas-schillinger
60,https://www.procyclingstats.com/rider/andrei-grivko
61,https://www.procyclingstats.com/rider/andrei-krasilnikau
62,https://www.procyclingstats.com/rider/andrew-dahlheim
63,https://www.procyclingstats.com/rider/andrew-fenn
64,https://www.procyclingstats.com/rider/andrey-amador
65,https://www.procyclingstats.com/rider/andrey-zeits
66,https://www.procyclingstats.com/rider/andzs-flaksis
67,https://www.procyclingstats.com/rider/angel-madrazo
68,https://www.procyclingstats.com/rider/angelo-tulik
69,https://www.procyclingstats.com/rider/anthony-delaplace
70,https://www.procyclingstats.com/rider/anthony-perez
71,https://www.procyclingstats.com/rider/anthony-roux
72,https://www.procyclingstats.com/rider/anthony-turgis
73,https://www.procyclingstats.com/rider/antoine-duchesne
74,https://www.procyclingstats.com/rider/antoine-warnier
75,https://www.procyclingstats.com/rider/antonio-molina
76,https://www.procyclingstats.com/rider/antonio-nibali
77,https://www.procyclingstats.com/rider/antonio-pedrero
78,https://www.procyclingstats.com/rider/antwan-tolhoek
79,https://www.procyclingstats.com/rider/ariel-maximiliano-richeze
