,Race_Name,Category,Number_stages
0,Santos Tour Down Under 2013 ,2.WT,6
1,Paris - Nice 2013 ,2.WT,8
2,Tirreno-Adriatico 2013 ,2.WT,7
3,Milano-Sanremo 2013 ,1.WT.A,1
4,Volta Ciclista a Catalunya 2013 ,2.WT,7
5,E3 Prijs Vlaanderen - Harelbeke 2013 ,1.WT.B,1
6,Gent - Wevelgem 2013 ,1.WT.B,1
7,Ronde van Vlaanderen / Tour des Flandres 2013 ,1.WT.A,1
8,Vuelta Ciclista al Pais Vasco 2013 ,2.WT,6
9,Paris - Roubaix 2013 ,1.WT.A,1
10,Amstel Gold Race 2013 ,1.WT.B,1
11,La Flèche Wallonne 2013 ,1.WT.B,1
12,Liège - Bastogne - Liège 2013 ,1.WT.A,1
13,Tour de Romandie 2013 ,2.WT,6
14,Giro d'Italia 2013 ,GT.B,21
15,Critérium du Dauphiné 2013 ,2.WT,8
16,Tour de Suisse 2013 ,2.WT,9
17,Tour de France 2013 ,GT.A,21
18,Clasica Ciclista San Sebastian 2013 ,1.WT.B,1
19,Tour de Pologne 2013 ,1.WT.B,7
20,Eneco Tour 2013 ,2.WT,7
21,Vuelta a España 2013 ,GT.B,21
22,Vattenfall Cyclassics 2013 ,1.WT.B,1
23,GP Ouest France - Plouay 2013 ,1.WT.B,1
24,Grand Prix Cycliste de Québec 2013 ,1.WT.B,1
25,Grand Prix Cycliste de Montréal 2013 ,1.WT.B,1
26,Il Lombardia 2013 ,1.WT.A,1
27,Tour of Beijing 2013 ,2.WT,5
28, World Championships - TTT 2013 ,Worlds.TTT,1
29,World Championships - ITT 2013 ,-,1
30,World Championships U23 - Road Race 2013 ,Nationals.C1,1
31,World Championships - Road Race 2013 ,Worlds.RR,1
32,La Tropicale Amissa Bongo 2013 ,2.1,7
33,Fenkel Northern Redsea 2013 ,2.2/U23,2
34,Tour of Eritrea 2013 ,2.2/U23,4
35,Circuit of Asmara 2013 ,1.2,1
36,Les Challenges de la Marche Verte - GP Sakia El Hamra 2013 ,1.2,1
37,Les Challenges de la Marche Verte - GP Oued Eddahab 2013 ,1.2,1
38,National Championships South Africa - ITT 2013 ,Nationals.C3.TT,1
39,Les Challenges de la Marche Verte - GP Al Massira 2013 ,1.2,1
40,National Championships Namibia - ITT 2013 ,Nationals.C3.TT,1
41,National Championships South-Africa TTT 2013 ,-,1
42,National Championships Namibia - Road Race 2013 ,Nationals.C3,1
43,National Championships South Africa - Road Race 2013 ,Nationals.C3,1
44,National Championships South-Africa U23 - Road Race 2013 ,Nationals.C3,1
45,Tour d'Algérie 2013 ,2.2/U23,7
46,Circuit d'Alger 2013 ,1.2,1
47,Tour de Tipaza 2013 ,2.2/U23,3
48,Tour de Blida 2013 ,2.2/U23,3
49,Tour du Maroc 2013 ,2.2/U23,10
50,Mzansi Tour 2013 ,2.2/U23,5
51,Challenge du Prince - Trophée Princier 2013 ,1.2,1
52,Challenge du Prince - Trophée de l\'Anniversaire 2013 ,1.2,1
53,Challenge du Prince - Trophée de la Maison Royale 2013 ,1.2,1
54,National Championships Eritrea - ITT 2013 ,Nationals.C3.TT,1
55,National Championships Eritrea - Road Race 2013 ,Nationals.C3,1
56,National Championships Algeria - ITT 2013 ,Nationals.C3.TT,1
57,National Championships Algeria - Road Race 2013 ,Nationals.C3,1
58,National Championships Morocco - ITT 2013 ,Nationals.C2.TT,1
59,National Championships Morocco - Road Race 2013 ,Nationals.C2,1
60,National Championships Burkina Faso - Road Race 2013 ,Nationals.C3,1
61,National Championships Ivory Coast - Road Race 2013 ,Nationals.C3,1
62,National Championships Rwanda - Road Race 2013 ,Nationals.C3,1
63,National Championships Tunisia - ITT 2013 ,Nationals.C3.TT,1
64,National Championships Gabon - ITT 2013 ,-,1
65,National Championships Zimbabwe - Road Race 2013 ,Nationals.C3,1
66,National Championships Gabon - Road Race 2013 ,-,1
67,National Championships Tunisia - Road Race 2013 ,Nationals.C3,1
68,National Championships Ethiopia - ITT 2013 ,-,1
69,National Championships Ethiopia - Road Race 2013 ,-,1
70,Grand Prix Chantal Biya 2013 ,2.2/U23,4
71,Tour du Faso 2013 ,2.2/U23,10
72,Tour of Rwanda 2013 ,2.2/U23,8
73, African Continental Championships - TTT 2013 ,2.HC.TTT,1
74,African Continental Championships - ITT 2013 ,UCI.Cont.Ch.TT,1
75,African Continental Championships - Road Race 2013 ,UCI.Cont.Ch,1
76,Tour of Qatar 2013 ,2.HC,6
77,Tour of Oman 2013 ,2.HC,6
78,Tour de Langkawi 2013 ,2.HC,10
79,Asian Cycling Championships - c.l.m. ind. / ind. TT - MU 2013 ,E-CC.TT,1
80,Asian Cycling Championships - ITT 2013 ,UCI.Cont.Ch.TT,1
81,Asian Cycling Championships - en ligne / ind. road race - MU 2013 ,E-CC,1
82,Asian Cycling Championships - Road Race 2013 ,UCI.Cont.Ch,1
83,Tour de Taiwan 2013 ,2.1,7
84,The Maha Chackri Sirindhorn's Cup Tour of Thailand 2013 ,2.2/U23,6
85,Le Tour de Filipinas 2013 ,2.2/U23,4
86,Melaka Governor's Cup 2013 ,1.2,1
87,National Championship United Arab Emirates - ITT 2013 ,-,1
88,Tour of Japan 2013 ,2.1,6
89,Tour of Iran 2013 ,2.2/U23,6
90,National Championships Philippines - Road Race 2013 ,-,1
91,National Championships Philippines - ITT 2013 ,-,1
92,Tour de Kumano 2013 ,2.2/U23,4
93,Tour of Singkarak 2013 ,2.2/U23,7
94,National Championships Japan - ITT 2013 ,Nationals.C3.TT,1
95,Tour de Korea 2013 ,2.2/U23,8
